survey_year,area_code,pref_code,pref_name,city_name,ward_name,full_name,level,dwellings_total,occupied_total,occupied_exclusive,occupied_shared,unoccupied_total,temporary_occupants_only,vacant_total,vacant_for_rent,vacant_for_sale,vacant_secondary,vacant_other,under_construction,other_buildings,vacant_rate_pct,vacant_other_rate_pct,vacant_for_rent_rate_pct
2023,04406,04,宮城県,利府町,,宮城県 利府町,city,13830,12740,12630,110,1090,,1070,480,30,20,540,20,0,7.74,3.9,3.47
2023,04421,04,宮城県,大和町,,宮城県 大和町,city,12190,11160,11110,50,1030,60,980,430,110,20,410,,10,8.04,3.36,3.53
2023,04445,04,宮城県,加美町,,宮城県 加美町,city,8900,7560,7520,40,1340,,1340,420,70,20,820,,,15.06,9.21,4.72
2023,04501,04,宮城県,涌谷町,,宮城県 涌谷町,city,6040,5200,5190,10,840,,810,110,10,10,680,20,30,13.41,11.26,1.82
2023,04505,04,宮城県,美里町,,宮城県 美里町,city,9680,8430,8350,80,1250,,1250,290,50,,900,,0,12.91,9.3,3.0
2023,05000,05,秋田県,,,秋田県,prefecture,440600,369400,367700,1700,71200,1100,69500,23600,1000,1000,43900,600,1300,15.77,9.96,5.36
2023,05201,05,秋田県,秋田市,,秋田県 秋田市,city,156990,133310,132650,670,23670,330,23010,12480,220,110,10200,330,400,14.66,6.5,7.95
2023,05202,05,秋田県,能代市,,秋田県 能代市,city,25480,20340,20210,130,5140,,5130,1260,80,50,3750,10,60,20.13,14.72,4.95
2023,05203,05,秋田県,横手市,,秋田県 横手市,city,34940,30200,30150,50,4740,140,4590,1480,190,70,2860,10,40,13.14,8.19,4.24
2023,05204,05,秋田県,大館市,,秋田県 大館市,city,32550,26920,26760,160,5630,90,5530,1550,50,10,3930,10,40,16.99,12.07,4.76
2023,05206,05,秋田県,男鹿市,,秋田県 男鹿市,city,13170,10120,10100,20,3050,,3050,510,10,110,2410,10,40,23.16,18.3,3.87
2023,05207,05,秋田県,湯沢市,,秋田県 湯沢市,city,16970,14550,14500,50,2420,20,2390,720,20,10,1650,10,80,14.08,9.72,4.24
2023,05209,05,秋田県,鹿角市,,秋田県 鹿角市,city,13830,10670,10620,50,3170,50,3090,860,160,80,2000,30,20,22.34,14.46,6.22
2023,05210,05,秋田県,由利本荘市,,秋田県 由利本荘市,city,33880,28170,28050,120,5710,180,5510,2110,70,70,3270,20,110,16.26,9.65,6.23
2023,05211,05,秋田県,潟上市,,秋田県 潟上市,city,14550,12350,12230,120,2200,10,2170,410,30,10,1720,10,40,14.91,11.82,2.82
2023,05212,05,秋田県,大仙市,,秋田県 大仙市,city,32130,28010,27920,90,4120,50,4050,690,120,50,3190,20,40,12.61,9.93,2.15
2023,05213,05,秋田県,北秋田市,,秋田県 北秋田市,city,12910,10480,10450,30,2430,150,2240,460,30,110,1650,40,130,17.35,12.78,3.56
2023,05214,05,秋田県,にかほ市,,秋田県 にかほ市,city,9880,8250,8220,20,1640,10,1620,190,50,70,1300,,40,16.4,13.16,1.92
2023,05215,05,秋田県,仙北市,,秋田県 仙北市,city,10000,8380,8320,60,1620,70,1550,310,10,40,1200,,90,15.5,12.0,3.1
2023,05348,05,秋田県,三種町,,秋田県 三種町,city,7090,5540,5500,40,1550,40,1510,130,,20,1360,,10,21.3,19.18,1.83
2023,05434,05,秋田県,美郷町,,秋田県 美郷町,city,4750,4580,4560,20,170,,170,100,,,70,,50,3.58,1.47,2.11
2023,06000,06,山形県,,,山形県,prefecture,455400,391500,389800,1600,63900,1600,61700,22200,1900,1600,35900,600,1100,13.55,7.88,4.87
2023,06201,06,山形県,山形市,,山形県 山形市,city,118870,101880,101470,410,17000,450,16390,8750,470,370,6790,160,190,13.79,5.71,7.36
2023,06202,06,山形県,米沢市,,山形県 米沢市,city,38480,32120,31940,180,6360,10,6290,3500,160,110,2520,50,110,16.35,6.55,9.1
2023,06203,06,山形県,鶴岡市,,山形県 鶴岡市,city,50940,43540,43290,250,7400,80,7270,1500,180,430,5160,40,260,14.27,10.13,2.94
2023,06204,06,山形県,酒田市,,山形県 酒田市,city,45020,38360,38150,220,6650,,6590,1140,220,20,5210,70,150,14.64,11.57,2.53
2023,06205,06,山形県,新庄市,,山形県 新庄市,city,14830,12700,12680,30,2130,70,1980,950,80,40,910,80,30,13.35,6.14,6.41
2023,06206,06,山形県,寒河江市,,山形県 寒河江市,city,15980,13940,13900,40,2040,20,2020,870,50,70,1030,,20,12.64,6.45,5.44
2023,06207,06,山形県,上山市,,山形県 上山市,city,12280,10340,10300,40,1940,70,1870,260,60,60,1480,,30,15.23,12.05,2.12
2023,06208,06,山形県,村山市,,山形県 村山市,city,8360,7320,7310,10,1030,10,1020,160,10,30,830,10,30,12.2,9.93,1.91
